Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Guinea,Africa,36502,440,,,,,,Guinea-Bissau,93,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Guinea-Bissau,Africa,8175,170,,,,,,Guyana,897109,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Guyana,America,63340,1226,,,,,,Haiti,267133,2,"Janssen - Ad26.COV 2-S,Moderna - Spikevax"
Haiti,America,30586,835,,,,,,Honduras,12118425,6,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Holy See,Europe,26,0,,,,,,Hungary,16339709,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Honduras,America,421268,10888,,,,,,Iceland,797004,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Hungary,Europe,1879480,45856,,,,,,India,1860524339,6,"Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,Zydus - ZyCov-D"
Iceland,Europe,183974,110,,,,,,Indonesia,387424190,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
India,Asia,43039023,521737,,,,,,Iran (Islamic Republic of),147059668,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Shifa - COVIran Barakat"
Indonesia,Asia,6037742,155794,,,,,,Iraq,17943392,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Iran (Islamic Republic of),Asia,7199861,140711,,,,,,Ireland,10732106,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Iraq,Asia,2322551,25188,,,,,,Isle of Man,189681,3,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty"
Ireland,Europe,1496910,6919,,,,,,Israel,14240684,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Isle of Man,Europe,30169,87,,,,,,Italy,135066130,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Israel,Asia,4018872,10601,,,,,,Jamaica,1406771,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Italy,Europe,15467395,161187,,,,,,Japan,259734137,4,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty"
Jamaica,America,129108,2919,,,,,,Jersey,230177,3,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty"
Japan,Asia,7180734,28825,,,,,,Jordan,9874355,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Jersey,Europe,48529,121,,,,,,Kazakhstan,23749109,5,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac"
Jordan,Asia,1694957,14055,,,,,,Kenya,17734375,5,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Kazakhstan,Asia,1394143,19013,,,,,,Kiribati,136758,2,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV"
Kenya,Africa,323588,5649,,,,,,Kosovo,1871106,2,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty"
Kiribati,,3069,13,,,,,,Kuwait,7939118,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
