Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED_NAME
South Sudan,Africa,17369,138,,0,0,0,0,Tajikistan,11532475,6,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Spain,Europe,11787004,104036,,0,0,0,0,Thailand,131009123,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Sri Lanka,Asia,662748,16494,,0,0,0,0,The United Kingdom,141456685,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Sudan,Africa,62057,4929,,0,0,0,0,Timor-Leste,1417237,4,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Suriname,America,79276,1325,,0,0,0,0,Togo,2757575,1,SII - Covishield
Sweden,Europe,2491980,18506,,0,0,0,0,Tokelau,1936,1,Pfizer BioNTech - Comirnaty
Switzerland,Europe,3551798,13087,,0,0,0,0,Tonga,157483,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Syrian Arab Republic,Asia,55756,3148,,0,0,0,0,Trinidad and Tobago,1549291,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Tajikistan,Asia,17786,125,,0,0,0,0,Tunisia,13062036,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Thailand,Asia,3973003,26510,,0,0,0,0,Turkey,147211194,3,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac"
Timor-Leste,Asia,22851,130,,0,0,0,0,Turkmenistan,7140000,6,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona"
Togo,Africa,36957,272,,0,0,0,0,Turks and Caicos Islands,68800,1,Pfizer BioNTech - Comirnaty
